competition_id,fixture_id,fixture_date,fixture_time,fixture_url,fixture_round,neutral_venue,weather_temp,weather_rainfall,weather_wind,weather_phenomena,home_team,away_team,home_odds,draw_odds,away_odds,ht_handicap_line,handicap_line,ht_total_points_line,total_points_line,home_ht_score,away_ht_score,home_ft_score,away_ft_score,home_agp_score,away_agp_score,first_scoring_play,team_scoring_first_try,team_scoring_last_try,first_tryscorer_name,last_tryscorer_name,help_home_ht_cover,help_away_ht_cover,help_home_cover,help_away_cover,help_ht_over,help_ht_under,help_over,help_under
2,11092,2026-02-12,20:00:00,https://www.superleague.co.uk/match-centre/report/43908,1,0,3.28,0.75,2.94,light rain,York RLFC,Hull Kingston Rovers,13.05,39.45,1.05,10.5,22.5,17.5,36.5,6,6,19,18,,,Home Try,Home,Home,Sam Wood,Scott Galeano,1,0,1,0,0,1,1,0
2,11093,2026-02-13,19:00:00,https://www.superleague.co.uk/match-centre/report/43909,1,0,11.13,1,3.51,light rain,Catalans Dragons,Huddersfield Giants,1.2,22.25,4.7,-5.5,-11.5,16.5,34.5,14,4,26,10,,,Home Try,Home,Home,Ben Condon,Solomona Faataape,1,0,1,0,1,0,1,0
2,11094,2026-02-13,20:00:00,https://www.superleague.co.uk/match-centre/report/43910,1,0,2.72,0,1.34,overcast clouds,Warrington Wolves,St Helens,2.2,17.55,1.7,0.5,1.5,14.5,29.5,18,0,24,14,,,Home Try,Home,Away,Toby King,Kyle Feldt,1,0,1,0,1,0,1,0
2,11095,2026-02-13,20:00:00,https://www.superleague.co.uk/match-centre/report/43911,1,0,2.62,0,1.34,overcast clouds,Leigh Leopards,Leeds Rhinos,1.45,19.15,2.85,-2.5,-5.5,15.5,32.5,10,2,26,14,,,Away Pen,Home,Away,Innes Senior,Brodie Croft,1,0,1,0,0,1,1,0
2,11096,2026-02-14,17:00:00,https://www.superleague.co.uk/match-centre/report/43912,1,0,4.95,0,2.06,few clouds,Hull FC,Bradford Bulls,1.1,34.5,8.15,-8.5,-18.5,20.5,41.5,18,10,27,20,,,Away Try,Away,Home,Waqa Blake,Cade Cust,0,1,0,1,1,0,1,0
2,11097,2026-02-14,20:00:00,https://www.superleague.co.uk/match-centre/report/43913,1,0,2.74,0,2.45,overcast clouds,Wakefield Trinity,Toulouse Olympique,1.05,35.55,11.1,-11.5,-23.5,20.5,42.5,6,8,16,18,,,Away Try,Away,Home,Oliver Ashall-Bott,Will Tate,0,1,0,1,0,1,0,1
2,11098,2026-02-15,15:00:00,https://www.superleague.co.uk/match-centre/report/43914,1,0,3.75,0,5.09,overcast clouds,Castleford Tigers,Wigan Warriors,7.05,28.4,1.1,8.5,17.5,19.5,39.5,6,10,16,26,,,Home Try,Home,Home,Liam Hood,George Lawler,1,0,1,0,0,1,1,0
2,11099,2026-02-20,20:00:00,https://www.superleague.co.uk/match-centre/report/43916,2,0,7.44,0,9.77,broken clouds,Bradford Bulls,Catalans Dragons,3.6,22.05,1.3,4.5,9.5,16.5,34.5,24,0,28,10,,,Home Try,Home,Home,Andy Ackers,Waqa Blake,1,0,1,0,1,0,1,0
2,11100,2026-02-20,20:00:00,https://www.superleague.co.uk/match-centre/report/43917,2,0,8,0,9.77,broken clouds,Leeds Rhinos,York RLFC,1.05,37.3,10.05,-10.5,-22.5,20.5,42.5,22,6,46,14,,,Home Try,Home,Away,James McDonnell,Scott Galeano,1,0,1,0,1,0,1,0
2,11101,2026-02-20,20:00:00,https://www.superleague.co.uk/match-centre/report/43918,2,0,8.04,0,6.63,overcast clouds,St Helens,Leigh Leopards,1.8,17.4,2.1,-0.5,-1.5,13.5,27.5,12,16,20,18,,,Away Try,Away,Home,Josh Charnley,Joe Shorrocks,0,1,1,0,1,0,1,0
2,11102,2026-02-21,19:00:00,https://www.superleague.co.uk/match-centre/report/43919,2,0,12.12,0,1.54,clear sky,Toulouse Olympique,Castleford Tigers,2,18.25,1.85,0.5,1.5,16.5,34.5,10,12,24,12,,,Home Try,Home,Home,Mathieu Jussaume,Reubenn Rennie,0,1,1,0,1,0,1,0
2,11103,2026-02-21,20:00:00,https://www.superleague.co.uk/match-centre/report/43920,2,0,10.91,0.15,4.92,light rain,Wigan Warriors,Hull FC,1.15,28.45,5.2,-6.5,-14.5,18.5,38.5,24,0,34,6,,,Home Try,Home,Away,Sam Walters,Harvie Hill,1,0,1,0,1,0,1,0
2,11104,2026-02-22,15:00:00,https://www.superleague.co.uk/match-centre/report/43921,2,0,12.02,0,3.58,clear sky,Huddersfield Giants,Wakefield Trinity,3.35,26,1.55,2.5,6.5,17.5,35.5,4,8,16,18,,,Away Try,Away,Home,Cameron Scott,George Flanagan,0,1,1,0,0,1,0,1
2,11105,2026-02-26,20:00:00,https://www.superleague.co.uk/match-centre/report/43922,3,0,10.52,0,4.19,overcast clouds,Wigan Warriors,Leigh Leopards,1.25,26,4.5,-4.5,-10.5,15.5,31.5,24,0,54,0,,,Home Try,Home,Home,Adam Keighran,Tom Forber,1,0,1,0,1,0,1,0
2,11106,2026-02-27,20:00:00,https://www.superleague.co.uk/match-centre/report/43923,3,0,8.43,1.15,3.09,moderate rain,Castleford Tigers,Huddersfield Giants,1.65,21,2.6,-1.5,-4.5,15.5,32.5,16,4,34,8,,,Home Try,Home,Home,Liam Hood,Ashton Golding,1,0,1,0,1,0,1,0
2,11107,2026-02-27,20:00:00,https://www.superleague.co.uk/match-centre/report/43924,3,0,7.89,0,4.31,overcast clouds,Hull FC,York RLFC,1.15,36,7,-7.5,-16.5,20.5,41.5,10,6,16,17,,,Away Try,Away,Home,David Nofoaluma,Lewis Martin,0,1,0,1,0,1,0,1
2,11108,2026-02-28,17:00:00,https://www.superleague.co.uk/match-centre/report/43926,3,0,7.46,0,2.68,scattered clouds,Warrington Wolves,Wakefield Trinity,1.35,29,4,-4.5,-9.5,20.5,42.5,14,2,27,16,,,Home Pen,Home,Home,Toafofoa Sipley,Toby King,1,0,1,0,0,1,1,0
2,11109,2026-02-28,19:00:00,https://www.superleague.co.uk/match-centre/report/43927,3,0,11.58,0,4.09,overcast clouds,Catalans Dragons,St Helens,2.3,23,1.8,0.5,1.5,18.5,38.5,0,6,4,36,,,Away Try,Away,Away,Daryl Clark,Kyle Feldt,0,1,0,1,0,1,1,0
2,11110,2026-02-28,16:00:00,https://www.superleague.co.uk/match-centre/report/43925,3,1,22,0,0,overcast clouds,Hull Kingston Rovers,Leeds Rhinos,1.7,26,2.4,-0.5,-2.5,22.5,46.5,0,28,6,58,,,Away Try,Away,Away,Maika Sivo,Cooper Jenkins,0,1,0,1,1,0,1,0
2,11111,2026-03-01,15:00:00,https://www.superleague.co.uk/match-centre/report/43928,3,0,11.43,0,5.74,broken clouds,Bradford Bulls,Toulouse Olympique,1.5,26,2.9,-2.5,-6.5,20.5,41.5,10,6,18,6,,,Home Pen,Away,Home,Anthony Marion,Ethan Ryan,1,0,1,0,0,1,0,1
2,11112,2026-03-05,20:00:00,https://www.superleague.co.uk/match-centre/report/43929,4,0,11.65,0,1.61,few clouds,Wakefield Trinity,Hull FC,1.65,23,2.9,-2.5,-5.5,19.5,39.5,10,10,14,10,,,Away Try,Away,Home,Lewis Martin,Will Tate,0,1,0,1,1,0,0,1
2,11113,2026-03-06,20:00:00,https://www.superleague.co.uk/match-centre/report/43931,4,0,5.42,0,2.07,overcast clouds,York RLFC,Warrington Wolves,6,36,1.2,6.5,13.5,21.5,44.5,18,22,30,38,,,Away Try,Away,Away,Sam Stone,Josh Thewlis,1,0,1,0,1,0,1,0
2,11114,2026-03-06,20:00:00,https://www.superleague.co.uk/match-centre/report/43932,4,0,5.84,0,1.2,broken clouds,Leigh Leopards,Catalans Dragons,1.45,29,3.6,-3.5,-8.5,20.5,41.5,6,6,16,22,,,Home Try,Home,Home,Tesi Niu,Tesi Niu,0,1,0,1,0,1,0,1
2,11115,2026-03-07,18:00:00,https://www.superleague.co.uk/match-centre/report/43930,4,0,14.33,0,5.56,overcast clouds,Toulouse Olympique,Wigan Warriors,26,67,1.1,10.5,21.5,23.5,48.5,6,18,16,36,,,Away Try,Away,Away,Zach Eckersley,Sam Walters,0,1,1,0,1,0,1,0
