competition_id,fixture_id,fixture_date,fixture_time,fixture_url,fixture_round,neutral_venue,weather_temp,weather_rainfall,weather_wind,weather_phenomena,home_team,away_team,home_odds,draw_odds,away_odds,ht_handicap_line,handicap_line,ht_total_points_line,total_points_line,home_ht_score,away_ht_score,home_ft_score,away_ft_score,home_agp_score,away_agp_score,first_scoring_play,team_scoring_first_try,team_scoring_last_try,first_tryscorer_name,last_tryscorer_name,help_home_ht_cover,help_away_ht_cover,help_home_cover,help_away_cover,help_ht_over,help_ht_under,help_over,help_under
2,10001,2019-01-31,,,1,0,-0.2,0.0,11.34,Overcast,St Helens,Wigan Warriors,1.45,19.1,2.9,-2.5,-5.5,17.5,36.5,12,12,22,12,,,Home Try,Home,Home,Kevin Naiqama,James Roby,0,1,1,0,1,0,0,1
2,10004,2019-02-01,,,1,0,1.4,0.0031,9.9,Overcast,Castleford Tigers,Catalans Dragons,1.4,21.6,3.15,-3.5,-7.5,17.5,36.5,12,0,20,4,,,Home Try,Home,Home,Paul McShane,Greg Eden,1,0,1,0,0,1,0,1
2,10003,2019-02-01,,,1,0,1.2,0.0008,8.89,Overcast,Huddersfield Giants,Salford Red Devils,1.55,20.9,2.55,-2.5,-5.5,18.5,38.5,2,8,14,34,,,Home Pen,Away,Away,Junior Sa'u,Derrell Olpherts,0,1,0,1,0,1,1,0
2,10002,2019-02-01,,,1,0,3.0,0.0006,12.2,Overcast,Hull Kingston Rovers,Hull FC,1.65,18.5,2.35,-0.5,-1.5,16.5,34.5,14,12,18,16,,,Away Try,Away,Home,Sika Manu,Jimmy Keinhorst,1,0,1,0,1,0,0,1
2,10005,2019-02-02,,,1,0,1.6,0.0,7.91,Clear,Warrington Wolves,Leeds Rhinos,1.45,20.8,2.9,-2.5,-5.5,17.5,36.5,20,0,26,6,,,Home Try,Home,Away,Stefan Ratchford,Stevie Ward,1,0,1,0,1,0,0,1
2,10006,2019-02-03,,,1,0,0.9,0.0,7.15,Clear,London Broncos,Wakefield Trinity,3.85,23.1,1.3,5.5,12.5,21.5,44.5,26,18,42,24,,,Away Try,Away,Home,Craig Kopczak,Elliot Kear,1,0,1,0,1,0,1,0
2,10007,2019-02-07,,,2,0,5.2,0.0,14.99,Partly Cloudy,Hull FC,Castleford Tigers,2.3,21.15,1.65,1.5,4.5,18.5,38.5,12,14,18,26,,,Away Try,Away,Home,Michael Shenton,Jordan Lane,0,1,0,1,1,0,1,0
2,10008,2019-02-08,,,2,0,8.4,0.0079,17.73,Possible Drizzle,Wigan Warriors,Leeds Rhinos,1.3,21.15,3.65,-3.5,-7.5,17.5,36.5,22,12,34,16,,,Away Try,Away,Home,Ash Handley,Liam Farrell,1,0,1,0,1,0,1,0
2,10010,2019-02-09,,,2,0,13.6,0.0,6.77,Mostly Cloudy,Catalans Dragons,Huddersfield Giants,1.25,26.1,4.3,-5.5,-11.5,21.5,44.5,18,6,27,10,,,Away Try,Away,Away,Matt Frawley,Oliver Roberts,1,0,1,0,1,0,0,1
2,10009,2019-02-09,,,2,0,7.1,0.0128,18.09,Possible Drizzle,Warrington Wolves,Hull Kingston Rovers,1.15,28.5,6.1,-7.5,-15.5,21.5,44.5,12,8,28,14,,,Away Try,Away,Home,Ben Crooks,Mike Cooper,0,1,0,1,0,1,0,1
