,game_id,datetime,year,month,home,homescore,away,awayscore,ref,attendance,score_deficit,totals
0,2009-02-06LeedsCrusaders,2009-02-06,2009,Feb,Leeds,28,Crusaders,6,B. Thaler,14827.0,22,34
1,2009-02-08WiganWakefield,2009-02-08,2009,Feb,Wigan,6,Wakefield,12,I. Smith,14377.0,-6,18
2,2009-02-13Hull FCWigan,2009-02-13,2009,Feb,Hull FC,18,Wigan,10,P. Bentham,14523.0,8,28
3,2009-02-13St HelensWarrington,2009-02-13,2009,Feb,St Helens,26,Warrington,14,I. Smith,17009.0,12,40
4,2009-02-13LeedsWakefield,2009-02-13,2009,Feb,Leeds,18,Wakefield,4,S. Ganson,15643.0,14,22
5,2009-02-14CatalansHuddersfield,2009-02-14,2009,Feb,Catalans,8,Huddersfield,30,G. Hewer,7520.0,-22,38
6,2009-02-14SalfordCrusaders,2009-02-14,2009,Feb,Salford,28,Crusaders,16,T. Alibert,4026.0,12,44
7,2009-02-15BradfordHull KR,2009-02-15,2009,Feb,Bradford,13,Hull KR,13,B. Thaler,12141.0,0,26
8,2009-02-15CastlefordLondon,2009-02-15,2009,Feb,Castleford,8,London,12,J. Leahy,7049.0,-4,20
9,2009-02-20WiganCastleford,2009-02-20,2009,Feb,Wigan,22,Castleford,28,S. Ganson,12079.0,-6,50
10,2009-02-20Hull KRLeeds,2009-02-20,2009,Feb,Hull KR,10,Leeds,19,P. Bentham,8623.0,-9,29
11,2009-02-21WarringtonCatalans,2009-02-21,2009,Feb,Warrington,20,Catalans,40,J. Robinson,7947.0,-20,60
12,2009-02-21CrusadersHull FC,2009-02-21,2009,Feb,Crusaders,20,Hull FC,28,J. Leahy,5272.0,-8,48
13,2009-02-22Wakefield TrinitySalford,2009-02-22,2009,Feb,Wakefield Trinity,29,Salford,10,I. Smith,6578.0,19,39
14,2009-02-22HuddersfieldSt Helens,2009-02-22,2009,Feb,Huddersfield,6,St Helens,23,T. Alibert,11338.0,-17,29
15,2009-02-27BradfordHuddersfield,2009-02-27,2009,Feb,Bradford,12,Huddersfield,16,S. Ganson,10186.0,-4,28
16,2009-02-27Wakefield TrinityWarrington,2009-02-27,2009,Feb,Wakefield Trinity,48,Warrington,22,P. Bentham,5169.0,26,70
17,2009-02-27St HelensHull KR,2009-02-27,2009,Feb,St Helens,19,Hull KR,20,I. Smith,11830.0,-1,39
18,2009-02-27Hull FCCatalans,2009-02-27,2009,Feb,Hull FC,28,Catalans,12,B. Thaler,12482.0,16,40
19,2009-02-28CastlefordSalford,2009-02-28,2009,Feb,Castleford,52,Salford,16,G. Hewer,7052.0,36,68
20,2009-02-28LondonWigan,2009-02-28,2009,Feb,London,18,Wigan,24,T. Alibert,3883.0,-6,42
21,2009-03-06HuddersfieldHull FC,2009-03-06,2009,Mar,Huddersfield,20,Hull FC,24,I. Smith,10459.0,-4,44
22,2009-03-06SalfordLondon,2009-03-06,2009,Mar,Salford,18,London,48,J. Leahy,3367.0,-30,66
23,2009-03-07CatalansCastleford,2009-03-07,2009,Mar,Catalans,22,Castleford,24,R. Silverwood,8150.0,-2,46
24,2009-03-07CrusadersSt Helens,2009-03-07,2009,Mar,Crusaders,0,St Helens,4,P. Bentham,6351.0,-4,4
25,2009-03-07WiganBradford,2009-03-07,2009,Mar,Wigan,44,Bradford,10,B. Thaler,12588.0,34,54
26,2009-03-08Hull KRWakefield,2009-03-08,2009,Mar,Hull KR,31,Wakefield,18,T. Alibert,9038.0,13,49
27,2009-03-08WarringtonLeeds,2009-03-08,2009,Mar,Warrington,14,Leeds,20,S. Ganson,9863.0,-6,34
