player_id,player_name,appearances,teams,total_points,position_id,position,attack_rating,defence_rating,overall_rating,reliability,reliable_overall
313,Jake Trueman,128,3,113.0,6,Position 6,2.1777323364073347,3.3878486310679747,5.565580967475309,1.0,5.565580967475309
165,Bevan French,132,1,452.0,6,Position 6,2.996242426491228,2.200722524222567,5.196964950713795,1.0,5.196964950713795
246,Tom Whitehead,35,3,4.0,18,Position 18,3.375757528811645,2.029509242604543,5.405266771416188,0.9354143466934853,5.056164085688279
40,Josh Charnley,163,2,476.0,2,Position 2,2.6827918893703253,1.498383787063745,4.18117567643407,1.0,4.18117567643407
170,Tyler Dupree,112,4,36.0,16,Position 16,2.001775102177399,1.9704387177298337,3.9722138199072328,1.0,3.9722138199072328
184,Tom Johnstone,121,2,368.0,5,Position 5,1.328475827651281,2.5829562992868063,3.911432126938087,1.0,3.911432126938087
376,Richie Myler,71,1,128.0,1,Position 1,3.0825254851080564,0.8266081696525973,3.9091336547606534,1.0,3.9091336547606534
190,Julian Bousquet,156,1,76.0,10,Position 10,2.5631702318837695,1.3263277100844468,3.8894979419682163,1.0,3.8894979419682163
60,Jake Connor,165,3,715.0,6,Position 6,1.809604971431522,1.9859815333515798,3.7955865047831017,1.0,3.7955865047831017
25,Sauaso Sue,85,1,52.0,8,Position 8,1.3112145582445385,2.454255594783677,3.7654701530282155,1.0,3.7654701530282155
176,Kaide Ellis,121,1,16.0,13,Position 13,2.772941824531813,0.9714347770635217,3.7443766015953344,1.0,3.7443766015953344
379,Aidan Sezer,103,3,275.0,7,Position 7,0.8649709712151993,2.663330816901428,3.5283017881166274,1.0,3.5283017881166274
75,Konrad Hurrell,107,2,176.0,3,Position 3,2.2412224729346155,1.2788431002662919,3.5200655732009074,1.0,3.5200655732009074
163,Jai Field,118,1,344.0,1,Position 1,2.7802870860130358,0.7095168858233308,3.4898039718363667,1.0,3.4898039718363667
285,Matty Nicholson,49,2,72.0,11,Position 11,1.6505527842374859,1.832314997118981,3.482867781356467,1.0,3.482867781356467
579,Krisnan Inu,46,1,403.0,3,Position 3,2.117640088655535,1.2821799557107338,3.399820044366269,1.0,3.399820044366269
276,Joe Batchelor,116,2,104.0,11,Position 11,2.359719317401934,0.9914843692314679,3.351203686633402,1.0,3.351203686633402
29,James Batchelor,155,2,112.0,11,Position 11,1.718527550218541,1.6107538769527512,3.329281427171292,1.0,3.329281427171292
628,Robert Lui,52,2,69.0,6,Position 6,1.7267175191412432,1.4959593087548648,3.222676827896108,1.0,3.222676827896108
82,Matty Lees,132,1,16.0,10,Position 10,2.2381740533603125,0.934607342194028,3.1727813955543405,1.0,3.1727813955543405
189,Michael McIlorum,106,2,28.0,9,Position 9,1.6344264372570847,1.4554573305408973,3.089883767797982,1.0,3.089883767797982
65,Matty English,139,2,32.0,16,Position 16,1.5017866119119627,1.552436423286901,3.0542230351988637,1.0,3.0542230351988637
86,Alex Walmsley,159,1,132.0,8,Position 8,0.5535470441414574,2.4822205050736517,3.035767549215109,1.0,3.035767549215109
76,Mark Percival,127,1,530.0,4,Position 4,0.740974502705257,2.1444504805579423,2.8854249832631993,1.0,2.8854249832631993
186,Mike McMeeken,156,3,112.0,11,Position 11,1.3346505903252004,1.510059549714619,2.8447101400398194,1.0,2.8447101400398194
515,Dan Sarginson,47,2,24.0,3,Position 3,1.8985003864182914,0.9258009183124898,2.8243013047307812,1.0,2.8243013047307812
112,Brodie Croft,122,2,214.0,6,Position 6,1.3544835715493677,1.4540009513258747,2.8084845228752426,1.0,2.8084845228752426
257,Sam Luckley,124,2,28.0,16,Position 16,2.179154354759508,0.6116465580985854,2.7908009128580935,1.0,2.7908009128580935
214,Zane Musgrove,33,1,4.0,16,Position 16,1.26042748083272,1.8120201625317236,3.072447643364444,0.9082951062292475,2.7906891586135085
116,James Bentley,136,3,104.0,11,Position 11,0.6023019821293165,2.1878147916363946,2.7901167737657113,1.0,2.7901167737657113
403,Kane Linnett,97,1,144.0,12,Position 12,1.2807830085401528,1.4412830590597805,2.7220660675999335,1.0,2.7220660675999335
19,Niall Evalds,117,4,200.0,1,Position 1,0.714147366228891,1.9597945681549562,2.6739419343838473,1.0,2.6739419343838473
130,Tim Lafai,66,1,84.0,4,Position 4,1.6962213422527728,0.9713136602581572,2.66753500251093,1.0,2.66753500251093
175,Patrick Mago,128,1,28.0,16,Position 16,1.705119469893897,0.896599345395485,2.6017188152893818,1.0,2.6017188152893818
183,Matt Ikuvalu,35,1,36.0,3,Position 3,1.6813653340327652,1.0410436722200054,2.7224090062527706,0.9354143466934853,2.546580442016396
137,Brad Singleton,139,5,36.0,8,Position 8,0.10549486331134218,2.3989704286069107,2.504465291918253,1.0,2.504465291918253
346,Sam Tomkins,107,1,441.0,1,Position 1,1.1027729485889415,1.3740518774456127,2.4768248260345542,1.0,2.4768248260345542
23,Tyrone May,117,2,108.0,6,Position 6,0.7110621816227135,1.7312651059150084,2.4423272875377218,1.0,2.4423272875377218
129,Deon Cross,110,2,152.0,3,Position 3,0.6847933979916846,1.711865353399705,2.3966587513913895,1.0,2.3966587513913895
